R1001l,Ramachandran,Nellaiyappan,01234567890,Regular
R1002l,Ramachandran,Nellaiyappan,01234567891,Regular
I1003l,Ramachandran,Nellaiyappan,01234567892,Internship
R1004l,Ramachandran,Nellaiyappan,01234567893,Regular
I1005l,Ramachandran,Nellaiyappan,01234567894,Internship
F1006l,Ramachandran,Nellaiyappan,01234567895,Freelancer
F1007l,Ramachandran,Nellaiyappan,01234567896,Freelancer
C1008l,Ramachandran,Nellaiyappan,01234567897,Contract
C1009l,Ramachandran,Nellaiyappan,01234567898,Contract
C1010l,Ramachandran,Nellaiyappan,01234567899,Contract
